Id,Numero,DataAjuizamento,IdClasse,IdAssunto,AnoEleicao
405277415,06000736620216070006,2021-09-1700:00:00.,{12553},{11778},0
405277420,00001093820176070091,2017-08-1813:45:34.,{12559},{11778},0
405277422,06000317620196070009,2019-12-1814:24:26.,{241},{11778},0
405277425,00000353920176070008,2017-05-1600:00:00.,{12549},{11778},0
405277428,06000853520216070021,2021-09-1400:00:00.,{12560},{11778},0
405277432,06001182220206070001,2020-10-0612:25:07.,{261},{11778},0
405277437,00000589120176070005,2017-09-2015:05:23.,{12549},{11778},0
405277441,00000137120196070020,2019-06-1316:21:32.,{11528},{11778},0
405277442,00001474220176070999,2017-05-2619:09:24.,{12559},{11778},0
405277449,00000463220176070020,2017-06-1318:04:25.,{12549},{11778},0
405277452,06000142120206070004,2020-03-3121:39:15.,{355},{11778},0
405277454,00000753020176070005,2017-11-1613:38:28.,{11541},{11778},0
405277457,06000315420206070005,2020-11-1500:00:00.,{12559},{11778},0
405277458,00000169520156070010,2015-06-1011:01:33.,{11541},{11778},0
405277466,00000592020196070001,2019-05-1017:05:07.,{12549},{11778},0
405277470,06000884720216070002,2021-09-1415:04:51.,{12560},{11778},0
405277478,06002244720216070001,2021-11-0416:21:09.,{310},{3655},2014
405277501,06000325820196070010,2019-12-1900:00:00.,{11541},{11778},2018
405277513,00000025120196070017,2019-01-2115:28:08.,{12549},{11778},0
405277520,06000845020206070000,2020-07-0800:00:00.,{12377},{11778},0
405277521,00000821320176070008,2017-09-0500:00:00.,{12549},{11778},0
405277522,06000020720206070004,2020-01-0714:59:45.,{355},{11778},0
405277529,00001177820186070091,2018-05-2821:33:28.,{12553},{11778},0
405277536,06000418320206070010,2020-01-2900:00:00.,{12559},{11778},2016
405277541,00000071020186070017,2019-05-2300:00:00.,{11528},{11778},0
405277543,06000047120206070005,2020-01-2000:00:00.,{12554},{11778},0
405277547,00000396620196070021,2019-08-0617:18:30.,{12553},{11778},0
405277549,06001578520216070000,2021-09-1700:00:00.,{279,1727},{11778},2002
405277555,00000037320176070092,2017-08-0914:10:45.,{12559},{11778},0
405277567,06001065520206070050,2020-06-0700:00:00.,{12553},{11778},0
405277568,06000072620206070005,2020-02-1100:00:00.,{12559},{11778},0
405277575,06000079320206070015,2020-03-1717:58:29.,{355},{11778},2014
405277579,06000045920206070009,2020-01-1414:51:22.,{241},{11778},0
405277582,06000639520216070014,2021-11-2200:00:00.,{12553},{11778},0
405277585,06000132420206070008,2020-09-1713:58:18.,{279},{11778},0
405277587,06000528920206070050,2020-05-0700:00:00.,{12553},{11778},0
405277600,06001226220206070000,2021-08-2200:00:00.,{1307},{11778},0
405277601,00000516220186070006,2018-07-0518:51:20.,{241},{11778},0
405277604,06002009020196070000,2020-04-2014:58:08.,{1307},{11778},0
405277605,00000162920196070019,2019-05-1417:58:49.,{12549},{11778},0
405277606,00002063020176070999,2017-07-0715:05:05.,{12553},{11778},0
405277610,00000078520196070013,2019-03-2014:10:02.,{12549},{11778},0
405277611,06000638320216070018,2021-11-1600:00:00.,{12553},{11778},0
405277612,00000720320176070999,2017-04-2118:09:56.,{12559},{11778},0
405277613,06000065720196070011,2019-09-1817:55:16.,{241},{11778},0
405277617,06000014020216070019,2021-03-2400:47:26.,{12560},{11778},0
405277621,00001290820176070001,2017-11-0314:00:20.,{261},{11778},0
405277623,06000120320206070020,2020-08-2500:00:00.,{1304},{11778},0
405277624,00000402820176070019,2017-06-1218:07:36.,{12549},{11778},0
405277625,06000729620216070001,2021-03-2300:00:00.,{12560},{11778},0
405277626,06002253220216070001,2021-11-0416:50:05.,{310},{3655},2014
405277628,06000892620216070004,2021-09-1615:58:23.,{12552},{11778},0
405277632,00001093020176070999,2017-05-1917:33:21.,{12559},{11778},0
405277633,00000418020176070999,2017-03-2218:59:26.,{12559},{11778},0
405277636,06005795520216000000,2021-11-2900:00:00.,{12552},{11778},0
405277641,06000156720206070016,2020-09-1216:02:43.,{355},{11778},0
405277642,06000024720196070002,2019-10-0213:27:35.,{241},{11778},0
405277644,06000542120216070019,2021-11-1217:44:45.,{12553},{11778},0
405277645,06000264720206070000,2020-03-0400:00:00.,{12553},{11778},2020
405277646,06000788720206070050,2020-06-0700:00:00.,{12553},{11778},0
405277648,00000869220176070091,2017-08-1618:09:22.,{12559},{11778},0
405277649,00000194920176070020,2017-03-2718:08:31.,{12549},{11778},0
405277652,06000363820206070050,2020-03-2300:00:00.,{12552},{11778},0
405277655,00000171820176070008,2017-03-2800:00:00.,{12549},{11778},0
405277656,06001127820216070001,2021-04-2818:31:57.,{355},{11778},0
405277657,06000432920206070018,2020-04-3011:28:41.,{12554},{11778},2020
405277660,06001269620206070001,2020-11-0320:01:20.,{261},{11778},2020
405277661,00000123520186070016,2018-05-0318:29:41.,{12553},{11778},0
405277662,00000038220186070013,2018-02-0813:33:46.,{12549},{11778},0
405277667,06000571420206070050,2020-06-0500:00:00.,{12553},{11778},0
405277668,06000871720216070017,2021-09-1500:00:00.,{12560},{11778},0
405277669,00000060320196070013,2019-02-2818:10:59.,{12549},{11778},0
405277670,00000297120176070092,2017-08-3016:41:27.,{12559},{11778},0
405277672,06000135220196070010,2019-10-0117:55:14.,{355},{11778},0
405277676,00000045520186070017,2020-09-0100:00:00.,{355},{11778},0
405277677,06000966420206070000,2020-07-0600:00:00.,{12377},{11778},0
405277678,06000632120206070050,2020-06-0714:39:30.,{12553},{11778},0
405277680,06000111520206070021,2020-05-1119:33:25.,{12553},{11778},0
405277682,06001048520206070050,2020-06-0700:00:00.,{12553},{11778},0
405277686,06000243520206070014,2020-12-0720:53:01.,{1304},{11778},0
405277687,06000546920216070003,2021-09-1415:43:01.,{12560},{11778},0
405277688,06000236520206070009,2020-01-3114:08:34.,{241},{11778},0
405277691,00000253620196070004,2019-08-1917:44:27.,{12549},{11778},0
405277692,06003543520216000000,2021-09-1700:00:00.,{12552},{11778},0
405277699,06001450520206070001,2020-12-0210:30:39.,{261},{11778},0
405277701,06000861720206070001,2020-07-0200:00:00.,{272},{11778},0
405277704,06000235820216070000,2021-02-1800:00:00.,{12553},{11778},2020
405277707,06000012220206070004,2020-01-0700:00:00.,{241},{11778},0
405277709,06000264420206070001,2020-05-1514:53:48.,{261},{11778},2018
405277718,00000011120196070003,2019-01-2414:04:46.,{12549},{11778},0
405277730,06000018620206070015,2020-01-3000:00:00.,{12559},{11778},0
405277732,06001234720206070000,2021-08-2221:49:22.,{1307},{11778},0
405277733,06000772120216070001,2021-04-1419:03:11.,{355},{11778},0
405277737,06000030420206070000,2020-01-2417:14:18.,{12553},{11778},2018
405277753,06000441420206070018,2020-05-1321:49:12.,{12553},{11778},0
405277757,06001965320196070000,2020-04-2014:45:27.,{1307},{11778},0
405277758,06000054220196070021,2019-10-0115:24:01.,{11528},{11778},0
